Reciept,Ordinal,Item
18129,1,'70-TU'
51991,1,'90-APIE-10'
51991,2,'90-CH-PF'
51991,3,'90-APP-11'
51991,4,'26-8x10'
83085,1,'25-STR-9'
83085,2,'24-8x10'
83085,3,'90-APR-PF'
83085,4,'51-ATW'
83085,5,'26-8x10'
70723,1,'45-CO'
13355,1,'24-8x10'
13355,2,'70-LEM'
13355,3,'46-11'
52761,1,'90-ALM-I'
52761,2,'26-8x10'
52761,3,'50-CHS'
52761,4,'90-BLK-PF'
52761,5,'90-ALM-I'
99002,1,'50-CHS'
99002,2,'45-VA'
58770,1,'50-CHS'
58770,2,'46-11'
58770,3,'45-CH'
58770,4,'20-CA-7.5'
84665,1,'90-BER-11'
55944,1,'20-CA-7.5'
55944,2,'90-LEM-11'
55944,3,'70-R'
55944,4,'70-R'
55944,5,'50-CHS'
42166,1,'70-M-VA-SM-DZ'
16034,1,'46-11'
16034,2,'26-8x10'
16034,3,'45-CH'
16034,4,'70-R'
16034,5,'46-11'
25906,1,'25-STR-9'
27741,1,'90-BLK-PF'
27741,2,'51-BC'
27741,3,'90-APR-PF'
64451,1,'90-BER-11'
64451,2,'51-BC'
64451,3,'24-8x10'
64451,4,'90-BLK-PF'
41028,1,'90-BER-11'
73716,1,'90-PEC-11'
73716,2,'90-ALM-I'
73716,3,'70-LEM'
73716,4,'50-CH'
76667,1,'70-GON'
76667,2,'90-LEM-11'
21040,1,'70-R'
21040,2,'20-BC-L-10'
21040,3,'90-CH-PF'
48332,1,'70-GA'
48332,2,'70-R'
35011,1,'50-CHS'
95962,1,'90-APR-PF'
95962,2,'90-CHR-11'
95962,3,'50-CH'
95962,4,'45-VA'
44798,1,'90-APR-PF'
44798,2,'90-CH-PF'
44798,3,'90-APIE-10'
44798,4,'90-APP-11'
44798,5,'25-STR-9'
60270,1,'20-BC-L-10'
60270,2,'90-BLU-11'
21162,1,'90-APP-11'
21162,2,'70-TU'
21162,3,'90-APR-PF'
77406,1,'51-ATW'
77406,2,'90-BLK-PF'
77406,3,'50-APR'
77406,4,'50-APR'
77406,5,'24-8x10'
32565,1,'50-APP'
32565,2,'50-APP'
32565,3,'45-VA'
36343,1,'51-BC'
36343,2,'51-BC'
36343,3,'70-M-VA-SM-DZ'
36343,4,'50-ALM'
96619,1,'90-BLK-PF'
86678,1,'70-M-VA-SM-DZ'
86678,2,'90-LEM-11'
44330,1,'70-R'
44330,2,'90-BLU-11'
91937,1,'51-BC'
91937,2,'51-APR'
21545,1,'90-BER-11'
21545,2,'70-GA'
21545,3,'50-ALM'
21545,4,'90-BER-11'
21545,5,'45-VA'
29226,1,'90-PEC-11'
29226,2,'90-APIE-10'
29226,3,'51-BC'
29226,4,'70-W'
29226,5,'50-ALM'
25121,1,'50-CHS'
25121,2,'90-BER-11'
25121,3,'45-CH'
54935,1,'70-R'
54935,2,'45-CH'
36423,1,'45-VA'
83437,1,'90-LEM-11'
83437,2,'51-APR'
49854,1,'90-BER-11'
49854,2,'90-APP-11'
99994,1,'25-STR-9'
99994,2,'26-8x10'
99994,3,'90-PEC-11'
99994,4,'50-CH'
21622,1,'45-CO'
64861,1,'50-ALM'
64861,2,'46-11'
33456,1,'46-11'
33456,2,'90-BLK-PF'
75468,1,'70-M-CH-DZ'
75468,2,'70-M-CH-DZ'
75468,3,'90-CHR-11'
56365,1,'50-APR'
91192,1,'51-APP'
91192,2,'51-ATW'
91192,3,'50-APP'
82056,1,'90-APP-11'
82056,2,'50-CH'
82056,3,'90-BLK-PF'
82056,4,'45-CO'
27192,1,'70-R'
27192,2,'90-BLU-11'
27192,3,'70-TU'
59716,1,'51-APR'
59716,2,'70-MAR'
59716,3,'90-BLU-11'
59716,4,'45-CO'
59716,5,'90-APP-11'
82795,1,'90-APR-PF'
26240,1,'20-CA-7.5'
56724,1,'70-M-VA-SM-DZ'
70796,1,'45-CO'
70796,2,'20-BC-L-10'
70796,3,'45-CH'
70796,4,'90-BLU-11'
37636,1,'90-APR-PF'
37636,2,'90-CH-PF'
37636,3,'24-8x10'
63998,1,'70-M-VA-SM-DZ'
48981,1,'90-CHR-11'
48981,2,'50-CHS'
66704,1,'90-BER-11'
66704,2,'51-APR'
66704,3,'70-LEM'
12698,1,'51-APP'
12698,2,'70-R'
12698,3,'26-8x10'
79287,1,'90-PEC-11'
79287,2,'45-VA'
79287,3,'90-LEM-11'
79287,4,'90-APP-11'
79287,5,'51-BLU'
55690,1,'70-M-CH-DZ'
55690,2,'51-BLU'
55690,3,'90-APP-11'
94371,1,'51-BLU'
26148,1,'20-CA-7.5'
26148,2,'90-BLU-11'
26148,3,'51-BLU'
26148,4,'70-M-CH-DZ'
11923,1,'70-LEM'
46598,1,'70-R'
46598,2,'70-W'
46598,3,'70-R'
76951,1,'51-BLU'
85858,1,'20-CA-7.5'
85858,2,'70-M-VA-SM-DZ'
85858,3,'51-BLU'
85881,1,'90-APP-11'
89937,1,'51-BLU'
89937,2,'51-BC'
89937,3,'90-BER-11'
89937,4,'70-R'
66227,1,'90-APP-11'
66227,2,'90-APIE-10'
66227,3,'70-MAR'
66227,4,'90-BLK-PF'
60240,1,'90-APP-11'
60240,2,'50-ALM'
86085,1,'50-APR'
86085,2,'50-APP'
86085,3,'90-APR-PF'
86085,4,'51-ATW'
67314,1,'51-BC'
67314,2,'50-CHS'
67314,3,'70-TU'
67314,4,'20-CA-7.5'
10013,1,'70-M-CH-DZ'
26741,1,'70-GA'
26741,2,'50-APP'
38157,1,'70-MAR'
38157,2,'90-CHR-11'
38157,3,'70-LEM'
38157,4,'90-CHR-11'
45873,1,'70-M-VA-SM-DZ'
37540,1,'45-CO'
37540,2,'51-APR'
11891,1,'45-CO'
11891,2,'50-APR'
11891,3,'46-11'
61797,1,'70-GON'
61797,2,'90-CH-PF'
61797,3,'70-M-VA-SM-DZ'
61797,4,'70-M-CH-DZ'
61797,5,'90-BER-11'
52369,1,'90-CHR-11'
52369,2,'70-TU'
96430,1,'90-PEC-11'
64301,1,'70-W'
64301,2,'51-APR'
64301,3,'90-BER-11'
45976,1,'24-8x10'
45976,2,'51-BC'
39605,1,'90-BER-11'
52013,1,'70-W'
52013,2,'50-ALM'
52013,3,'90-ALM-I'
52013,4,'90-APP-11'
95514,1,'45-CH'
95514,2,'46-11'
95514,3,'70-MAR'
95514,4,'51-APP'
24829,1,'20-CA-7.5'
44590,1,'90-BLU-11'
44590,2,'24-8x10'
44590,3,'90-BLU-11'
44590,4,'45-CH'
44590,5,'90-PEC-11'
65165,1,'24-8x10'
65165,2,'90-ALM-I'
65165,3,'70-R'
65165,4,'45-CO'
89588,1,'90-BLK-PF'
53240,1,'25-STR-9'
53240,2,'51-ATW'
46674,1,'51-BC'
67946,1,'90-PEC-11'
67946,2,'90-APR-PF'
67946,3,'90-APR-PF'
67946,4,'90-LEM-11'
31233,1,'70-M-VA-SM-DZ'
31233,2,'50-APR'
31233,3,'50-CHS'
31233,4,'51-BC'
15904,1,'90-CH-PF'
17488,1,'50-APP'
97097,1,'70-MAR'
50512,1,'90-APP-11'
11548,1,'45-CO'
11548,2,'90-APIE-10'
29908,1,'45-VA'
29908,2,'51-ATW'
29908,3,'25-STR-9'
29908,4,'70-GA'
29908,5,'90-CH-PF'
20127,1,'90-BER-11'
20127,2,'70-M-CH-DZ'
41963,1,'50-ALM'
41963,2,'90-CH-PF'
16532,1,'50-APP'
16532,2,'70-MAR'
16532,3,'70-TU'
16532,4,'24-8x10'
34378,1,'90-CHR-11'
34378,2,'45-VA'